Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.37,-.12,-.01,-.83,-.46,-.27,-.15,-.09,-.03,.05,.64
1881,-.07,-.17,.01,-.33,.11,-.06,-.91,-.42,-.19,.10,.12,-.04,-.07,.56
1882,-.10,-.20,.00,-.29,-.04,.02,-1.42,-.25,-.13,-.05,-.03,.02,.04,.59
1883,-.17,-.28,-.06,-.34,-.16,-.01,-.20,-.54,-.26,-.17,-.14,-.03,.07,.46
1884,-.28,-.43,-.14,-.61,-.14,-.14,-1.32,-.64,-.46,-.13,-.15,-.18,-.02,.61
1885,-.32,-.42,-.24,-.64,-.12,-.27,-1.49,-.65,-.44,-.04,-.19,-.33,-.15,.79
1886,-.30,-.41,-.19,-.55,-.18,-.21,-1.57,-.46,-.39,-.18,-.17,-.19,-.21,.55
1887,-.35,-.41,-.28,-.51,-.28,-.28,-1.75,-.47,-.28,-.26,-.29,-.27,-.26,.28
1888,-.16,-.21,-.11,-.40,.12,-.29,-1.28,-.38,-.23,.10,.14,-.30,-.23,.12
1889,-.09,-.16,-.04,-.28,.09,-.16,-.66,-.19,-.27,.04,.15,-.15,-.15,.41
1890,-.34,-.37,-.32,-.45,-.35,-.22,-1.11,-.55,-.27,-.24,-.47,-.17,-.27,.11
1891,-.22,-.24,-.19,-.42,-.06,-.21,-1.14,-.32,-.36,.03,-.16,-.17,-.24,-.19
1892,-.26,-.38,-.15,-.43,-.28,-.08,-1.16,-.63,-.17,-.30,-.26,.03,-.21,.05
1893,-.31,-.47,-.15,-.51,-.35,-.05,-.72,-.53,-.47,-.40,-.30,.07,-.20,-.08
1894,-.29,-.37,-.21,-.32,-.31,-.24,-.98,-.31,-.18,-.45,-.18,-.14,-.35,-.41
1895,-.21,-.28,-.15,-.39,-.05,-.26,-.66,-.49,-.27,-.11,.01,-.19,-.32,-.62
1896,-.10,-.18,-.03,-.34,.12,-.15,-.90,-.34,-.22,.09,.15,-.14,-.13,.22
1897,-.10,-.14,-.05,-.34,.18,-.23,-.56,-.43,-.24,.16,.21,-.18,-.27,.37
1898,-.26,-.26,-.26,-.32,-.21,-.26,-1.11,-.17,-.23,-.15,-.26,-.27,-.21,.34
1899,-.17,-.20,-.14,-.23,-.11,-.18,-1.04,-.06,-.15,-.14,-.08,-.15,-.22,.55
1900,-.07,-.07,-.06,-.19,.19,-.30,-.56,-.10,-.16,.12,.26,-.28,-.29,.24
1901,-.15,-.11,-.18,-.16,-.02,-.30,-.45,-.08,-.14,-.03,-.01,-.27,-.34,.22
1902,-.27,-.33,-.22,-.53,-.03,-.35,-1.43,-.49,-.33,-.01,-.05,-.27,-.43,-.08
1903,-.37,-.37,-.36,-.47,-.28,-.38,-.31,-.40,-.56,-.23,-.33,-.35,-.40,-.49
1904,-.46,-.47,-.46,-.50,-.46,-.44,-.19,-.57,-.55,-.43,-.48,-.37,-.49,-1.32
1905,-.26,-.28,-.22,-.40,-.07,-.35,-.08,-.21,-.62,-.10,-.05,-.32,-.37,-.33
1906,-.22,-.23,-.21,-.25,-.19,-.23,-.29,-.04,-.39,-.21,-.17,-.20,-.22,-.71
1907,-.38,-.47,-.30,-.59,-.30,-.29,-.61,-.70,-.52,-.30,-.30,-.20,-.37,-1.20
1908,-.42,-.45,-.40,-.48,-.43,-.36,-.25,-.52,-.52,-.41,-.45,-.28,-.48,.68
1909,-.48,-.49,-.47,-.53,-.47,-.44,-.76,-.59,-.44,-.43,-.51,-.37,-.52,-.57
1910,-.43,-.44,-.42,-.41,-.48,-.38,-.59,-.22,-.50,-.49,-.48,-.32,-.45,.16
1911,-.44,-.42,-.45,-.42,-.42,-.48,-.30,-.40,-.48,-.42,-.41,-.43,-.53,.05
1912,-.36,-.46,-.24,-.59,-.18,-.36,-.50,-.77,-.51,-.27,-.08,-.36,-.29,-1.63
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.49,-.32,-.51,-.40,-.14,-.27,-.40,-1.04
1914,-.15,-.20,-.10,-.25,-.06,-.18,-.38,-.15,-.28,-.12,.00,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.60,-.14,-.19,.00,-.01,-.14,-.23,-1.98
1916,-.36,-.42,-.30,-.37,-.44,-.23,-.50,-.52,-.24,-.49,-.39,-.22,-.17,-1.05
1917,-.46,-.57,-.35,-.50,-.63,-.19,-.84,-.48,-.43,-.69,-.57,-.22,-.10,.06
1918,-.29,-.39,-.19,-.40,-.33,-.13,-1.04,-.26,-.34,-.38,-.27,-.05,-.23,-.28
1919,-.27,-.35,-.20,-.43,-.20,-.22,-.72,-.55,-.30,-.23,-.16,-.14,-.32,.20
1920,-.27,-.30,-.24,-.25,-.25,-.32,-.03,-.19,-.35,-.37,-.13,-.18,-.48,-1.14
1921,-.19,-.11,-.26,.01,-.25,-.31,-.03,.18,-.09,-.29,-.21,-.22,-.38,-.84
